color,filename,plastic_or_not,N,site
gold,Results_Mekong5_070722_100um_derivative_OG_T0.7_results.csv,not plastic,9,M5
translucent,Results_Mekong5_070722_100um_derivative_OG_T0.7_results.csv,not plastic,46,M5
white,Results_Mekong5_070722_100um_derivative_OG_T0.7_results.csv,not plastic,10,M5
black,Results_Mekong6_070922_100um_A_derivative_OG_T0.7_results.csv,not plastic,19,M4
brown,Results_Mekong6_070922_100um_A_derivative_OG_T0.7_results.csv,not plastic,178,M4
green,Results_Mekong6_070922_100um_A_derivative_OG_T0.7_results.csv,not plastic,6,M4
red,Results_Mekong6_070922_100um_A_derivative_OG_T0.7_results.csv,not plastic,6,M4
translucent,Results_Mekong6_070922_100um_A_derivative_OG_T0.7_results.csv,not plastic,89,M4
white,Results_Mekong6_070922_100um_A_derivative_OG_T0.7_results.csv,not plastic,6,M4
yellow,Results_Mekong6_070922_100um_A_derivative_OG_T0.7_results.csv,not plastic,1,M4
black,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,not plastic,26,M4
brown,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,not plastic,248,M4
gold,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,not plastic,4,M4
green,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,not plastic,8,M4
red,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,not plastic,13,M4
translucent,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,not plastic,94,M4
white,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,not plastic,11,M4
black,Results_Mekong7_Dup_070822_100um__B_derivative_OG_T0.7_results.csv,not plastic,6,M3D
brown,Results_Mekong7_Dup_070822_100um__B_derivative_OG_T0.7_results.csv,not plastic,296,M3D
gold,Results_Mekong7_Dup_070822_100um__B_derivative_OG_T0.7_results.csv,not plastic,11,M3D
multi,Results_Mekong7_Dup_070822_100um__B_derivative_OG_T0.7_results.csv,not plastic,6,M3D
translucent,Results_Mekong7_Dup_070822_100um__B_derivative_OG_T0.7_results.csv,not plastic,46,M3D
white,Results_Mekong7_Dup_070822_100um__B_derivative_OG_T0.7_results.csv,not plastic,11,M3D
black,Results_Mekong7_Dup_070822_100um_A_derivative_OG_T0.7_results.csv,not plastic,27,M3D
blue,Results_Mekong7_Dup_070822_100um_A_derivative_OG_T0.7_results.csv,not plastic,1,M3D
brown,Results_Mekong7_Dup_070822_100um_A_derivative_OG_T0.7_results.csv,not plastic,360,M3D
gold,Results_Mekong7_Dup_070822_100um_A_derivative_OG_T0.7_results.csv,not plastic,8,M3D
green,Results_Mekong7_Dup_070822_100um_A_derivative_OG_T0.7_results.csv,not plastic,10,M3D
purple,Results_Mekong7_Dup_070822_100um_A_derivative_OG_T0.7_results.csv,not plastic,2,M3D
red,Results_Mekong7_Dup_070822_100um_A_derivative_OG_T0.7_results.csv,not plastic,10,M3D
translucent,Results_Mekong7_Dup_070822_100um_A_derivative_OG_T0.7_results.csv,not plastic,130,M3D
white,Results_Mekong7_Dup_070822_100um_A_derivative_OG_T0.7_results.csv,not plastic,19,M3D
yellow,Results_Mekong7_Dup_070822_100um_A_derivative_OG_T0.7_results.csv,not plastic,1,M3D
black,Results_Mekong7_Dup_070822_100um_C_derivative_OG_T0.7_results.csv,not plastic,42,M3D
brown,Results_Mekong7_Dup_070822_100um_C_derivative_OG_T0.7_results.csv,not plastic,213,M3D
gold,Results_Mekong7_Dup_070822_100um_C_derivative_OG_T0.7_results.csv,not plastic,11,M3D
green,Results_Mekong7_Dup_070822_100um_C_derivative_OG_T0.7_results.csv,not plastic,6,M3D
multi,Results_Mekong7_Dup_070822_100um_C_derivative_OG_T0.7_results.csv,not plastic,1,M3D
purple,Results_Mekong7_Dup_070822_100um_C_derivative_OG_T0.7_results.csv,not plastic,3,M3D
red,Results_Mekong7_Dup_070822_100um_C_derivative_OG_T0.7_results.csv,not plastic,13,M3D
translucent,Results_Mekong7_Dup_070822_100um_C_derivative_OG_T0.7_results.csv,not plastic,71,M3D
white,Results_Mekong7_Dup_070822_100um_C_derivative_OG_T0.7_results.csv,not plastic,11,M3D
yellow,Results_Mekong7_Dup_070822_100um_C_derivative_OG_T0.7_results.csv,not plastic,2,M3D
black,Results_Mekong7_July822_100um_A_derivative_OG_T0.7_results.csv,not plastic,71,M3
blue,Results_Mekong7_July822_100um_A_derivative_OG_T0.7_results.csv,not plastic,1,M3
brown,Results_Mekong7_July822_100um_A_derivative_OG_T0.7_results.csv,not plastic,284,M3
gold,Results_Mekong7_July822_100um_A_derivative_OG_T0.7_results.csv,not plastic,19,M3
green,Results_Mekong7_July822_100um_A_derivative_OG_T0.7_results.csv,not plastic,7,M3
multi,Results_Mekong7_July822_100um_A_derivative_OG_T0.7_results.csv,not plastic,2,M3
purple,Results_Mekong7_July822_100um_A_derivative_OG_T0.7_results.csv,not plastic,7,M3
red,Results_Mekong7_July822_100um_A_derivative_OG_T0.7_results.csv,not plastic,35,M3
translucent,Results_Mekong7_July822_100um_A_derivative_OG_T0.7_results.csv,not plastic,198,M3
white,Results_Mekong7_July822_100um_A_derivative_OG_T0.7_results.csv,not plastic,42,M3
yellow,Results_Mekong7_July822_100um_A_derivative_OG_T0.7_results.csv,not plastic,7,M3
black,Results_Mekong7_July822_100um_B_derivative_OG_T0.7_results.csv,not plastic,30,M3
brown,Results_Mekong7_July822_100um_B_derivative_OG_T0.7_results.csv,not plastic,634,M3
gold,Results_Mekong7_July822_100um_B_derivative_OG_T0.7_results.csv,not plastic,5,M3
red,Results_Mekong7_July822_100um_B_derivative_OG_T0.7_results.csv,not plastic,3,M3
translucent,Results_Mekong7_July822_100um_B_derivative_OG_T0.7_results.csv,not plastic,72,M3
white,Results_Mekong7_July822_100um_B_derivative_OG_T0.7_results.csv,not plastic,50,M3
yellow,Results_Mekong7_July822_100um_B_derivative_OG_T0.7_results.csv,not plastic,2,M3
black,Results_Mekong8_070722_100um_derivative_OG_T0.7_results.csv,not plastic,5,M2
brown,Results_Mekong8_070722_100um_derivative_OG_T0.7_results.csv,not plastic,116,M2
gold,Results_Mekong8_070722_100um_derivative_OG_T0.7_results.csv,not plastic,4,M2
multi,Results_Mekong8_070722_100um_derivative_OG_T0.7_results.csv,not plastic,1,M2
translucent,Results_Mekong8_070722_100um_derivative_OG_T0.7_results.csv,not plastic,47,M2
white,Results_Mekong8_070722_100um_derivative_OG_T0.7_results.csv,not plastic,5,M2
black,Results_Sekong1_071022_100um_A_derivative_OG_T0.7_results.csv,not plastic,10,SK1
brown,Results_Sekong1_071022_100um_A_derivative_OG_T0.7_results.csv,not plastic,273,SK1
gold,Results_Sekong1_071022_100um_A_derivative_OG_T0.7_results.csv,not plastic,3,SK1
green,Results_Sekong1_071022_100um_A_derivative_OG_T0.7_results.csv,not plastic,5,SK1
multi,Results_Sekong1_071022_100um_A_derivative_OG_T0.7_results.csv,not plastic,1,SK1
purple,Results_Sekong1_071022_100um_A_derivative_OG_T0.7_results.csv,not plastic,2,SK1
red,Results_Sekong1_071022_100um_A_derivative_OG_T0.7_results.csv,not plastic,1,SK1
translucent,Results_Sekong1_071022_100um_A_derivative_OG_T0.7_results.csv,not plastic,92,SK1
white,Results_Sekong1_071022_100um_A_derivative_OG_T0.7_results.csv,not plastic,23,SK1
yellow,Results_Sekong1_071022_100um_A_derivative_OG_T0.7_results.csv,not plastic,2,SK1
black,Results_Sekong1_071022_100um_B_derivative_OG_T0.7_results.csv,not plastic,25,SK1
brown,Results_Sekong1_071022_100um_B_derivative_OG_T0.7_results.csv,not plastic,419,SK1
gold,Results_Sekong1_071022_100um_B_derivative_OG_T0.7_results.csv,not plastic,17,SK1
green,Results_Sekong1_071022_100um_B_derivative_OG_T0.7_results.csv,not plastic,3,SK1
multi,Results_Sekong1_071022_100um_B_derivative_OG_T0.7_results.csv,not plastic,2,SK1
purple,Results_Sekong1_071022_100um_B_derivative_OG_T0.7_results.csv,not plastic,1,SK1
red,Results_Sekong1_071022_100um_B_derivative_OG_T0.7_results.csv,not plastic,3,SK1
silver,Results_Sekong1_071022_100um_B_derivative_OG_T0.7_results.csv,not plastic,4,SK1
translucent,Results_Sekong1_071022_100um_B_derivative_OG_T0.7_results.csv,not plastic,136,SK1
white,Results_Sekong1_071022_100um_B_derivative_OG_T0.7_results.csv,not plastic,23,SK1
black,Results_Sesan1_Dup_071022_100um_derivative_OG_T0.7_results.csv,not plastic,1,SS1D
brown,Results_Sesan1_Dup_071022_100um_derivative_OG_T0.7_results.csv,not plastic,48,SS1D
green,Results_Sesan1_Dup_071022_100um_derivative_OG_T0.7_results.csv,not plastic,2,SS1D
silver,Results_Sesan1_Dup_071022_100um_derivative_OG_T0.7_results.csv,not plastic,1,SS1D
translucent,Results_Sesan1_Dup_071022_100um_derivative_OG_T0.7_results.csv,not plastic,104,SS1D
white,Results_Sesan1_Dup_071022_100um_derivative_OG_T0.7_results.csv,not plastic,3,SS1D
black,Results_Sesan1_July102022_100um_derivative_OG_T0.7_results.csv,not plastic,5,SS1
blue,Results_Sesan1_July102022_100um_derivative_OG_T0.7_results.csv,not plastic,1,SS1
brown,Results_Sesan1_July102022_100um_derivative_OG_T0.7_results.csv,not plastic,99,SS1
translucent,Results_Sesan1_July102022_100um_derivative_OG_T0.7_results.csv,not plastic,173,SS1
white,Results_Sesan1_July102022_100um_derivative_OG_T0.7_results.csv,not plastic,11,SS1
brown,Results_Bassac1_070622_100um_derivative_OG_T0.7_results.csv,plastic,14,B2
translucent,Results_Bassac1_070622_100um_derivative_OG_T0.7_results.csv,plastic,18,B2
white,Results_Bassac1_070622_100um_derivative_OG_T0.7_results.csv,plastic,3,B2
yellow,Results_Bassac1_070622_100um_derivative_OG_T0.7_results.csv,plastic,1,B2
black,Results_Bassac2_070422_100um_A_derivative_OG_T0.7_results.csv,plastic,2,B1
brown,Results_Bassac2_070422_100um_A_derivative_OG_T0.7_results.csv,plastic,37,B1
green,Results_Bassac2_070422_100um_A_derivative_OG_T0.7_results.csv,plastic,1,B1
translucent,Results_Bassac2_070422_100um_A_derivative_OG_T0.7_results.csv,plastic,32,B1
black,Results_Bassac2_070422_100um_B_derivative_OG_T0.7_results.csv,plastic,4,B1
brown,Results_Bassac2_070422_100um_B_derivative_OG_T0.7_results.csv,plastic,12,B1
translucent,Results_Bassac2_070422_100um_B_derivative_OG_T0.7_results.csv,plastic,28,B1
white,Results_Bassac2_070422_100um_B_derivative_OG_T0.7_results.csv,plastic,1,B1
brown,Results_Mekong_2_07062_100um_derivative_OG_T0.7_results.csv,plastic,17,M8
gold,Results_Mekong_2_07062_100um_derivative_OG_T0.7_results.csv,plastic,1,M8
translucent,Results_Mekong_2_07062_100um_derivative_OG_T0.7_results.csv,plastic,4,M8
white,Results_Mekong_2_07062_100um_derivative_OG_T0.7_results.csv,plastic,7,M8
brown,Results_Mekong_4_070722_100_derivative_OG_T0.7_results.csv,plastic,24,M6
gold,Results_Mekong_4_070722_100_derivative_OG_T0.7_results.csv,plastic,3,M6
translucent,Results_Mekong_4_070722_100_derivative_OG_T0.7_results.csv,plastic,9,M6
black,Results_Mekong10_071122_100um_A_1_derivative_OG_T0.7_results.csv,plastic,3,M1
brown,Results_Mekong10_071122_100um_A_1_derivative_OG_T0.7_results.csv,plastic,59,M1
gold,Results_Mekong10_071122_100um_A_1_derivative_OG_T0.7_results.csv,plastic,5,M1
red,Results_Mekong10_071122_100um_A_1_derivative_OG_T0.7_results.csv,plastic,4,M1
translucent,Results_Mekong10_071122_100um_A_1_derivative_OG_T0.7_results.csv,plastic,22,M1
white,Results_Mekong10_071122_100um_A_1_derivative_OG_T0.7_results.csv,plastic,2,M1
black,Results_Mekong10_071122_100um_B_derivative_OG_T0.7_results.csv,plastic,1,M1
brown,Results_Mekong10_071122_100um_B_derivative_OG_T0.7_results.csv,plastic,30,M1
red,Results_Mekong10_071122_100um_B_derivative_OG_T0.7_results.csv,plastic,6,M1
translucent,Results_Mekong10_071122_100um_B_derivative_OG_T0.7_results.csv,plastic,31,M1
white,Results_Mekong10_071122_100um_B_derivative_OG_T0.7_results.csv,plastic,3,M1
brown,Results_Mekong3_070522_100um_derivative_OG_T0.7_results.csv,plastic,35,M9
gold,Results_Mekong3_070522_100um_derivative_OG_T0.7_results.csv,plastic,1,M9
translucent,Results_Mekong3_070522_100um_derivative_OG_T0.7_results.csv,plastic,25,M9
black,Results_Mekong5_070722_100um_derivative_OG_T0.7_results.csv,plastic,2,M5
blue,Results_Mekong5_070722_100um_derivative_OG_T0.7_results.csv,plastic,1,M5
brown,Results_Mekong5_070722_100um_derivative_OG_T0.7_results.csv,plastic,21,M5
red,Results_Mekong5_070722_100um_derivative_OG_T0.7_results.csv,plastic,1,M5
translucent,Results_Mekong5_070722_100um_derivative_OG_T0.7_results.csv,plastic,17,M5
white,Results_Mekong5_070722_100um_derivative_OG_T0.7_results.csv,plastic,2,M5
black,Results_Mekong6_070922_100um_A_derivative_OG_T0.7_results.csv,plastic,3,M4
brown,Results_Mekong6_070922_100um_A_derivative_OG_T0.7_results.csv,plastic,22,M4
gold,Results_Mekong6_070922_100um_A_derivative_OG_T0.7_results.csv,plastic,2,M4
green,Results_Mekong6_070922_100um_A_derivative_OG_T0.7_results.csv,plastic,1,M4
translucent,Results_Mekong6_070922_100um_A_derivative_OG_T0.7_results.csv,plastic,5,M4
black,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,plastic,9,M4
blue,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,plastic,1,M4
brown,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,plastic,67,M4
gold,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,plastic,1,M4
green,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,plastic,2,M4
red,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,plastic,2,M4
translucent,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,plastic,24,M4
white,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,plastic,1,M4
brown,Results_Mekong7_Dup_070822_100um__B_derivative_OG_T0.7_results.csv,plastic,72,M3D
multi,Results_Mekong7_Dup_070822_100um__B_derivative_OG_T0.7_results.csv,plastic,1,M3D
translucent,Results_Mekong7_Dup_070822_100um__B_derivative_OG_T0.7_results.csv,plastic,7,M3D
black,Results_Mekong7_Dup_070822_100um_A_derivative_OG_T0.7_results.csv,plastic,1,M3D
blue,Results_Mekong7_Dup_070822_100um_A_derivative_OG_T0.7_results.csv,plastic,1,M3D
brown,Results_Mekong7_Dup_070822_100um_A_derivative_OG_T0.7_results.csv,plastic,35,M3D
red,Results_Mekong7_Dup_070822_100um_A_derivative_OG_T0.7_results.csv,plastic,1,M3D
translucent,Results_Mekong7_Dup_070822_100um_A_derivative_OG_T0.7_results.csv,plastic,17,M3D
white,Results_Mekong7_Dup_070822_100um_A_derivative_OG_T0.7_results.csv,plastic,2,M3D
black,Results_Mekong7_Dup_070822_100um_C_derivative_OG_T0.7_results.csv,plastic,2,M3D
brown,Results_Mekong7_Dup_070822_100um_C_derivative_OG_T0.7_results.csv,plastic,19,M3D
gold,Results_Mekong7_Dup_070822_100um_C_derivative_OG_T0.7_results.csv,plastic,1,M3D
translucent,Results_Mekong7_Dup_070822_100um_C_derivative_OG_T0.7_results.csv,plastic,2,M3D
white,Results_Mekong7_Dup_070822_100um_C_derivative_OG_T0.7_results.csv,plastic,1,M3D
black,Results_Mekong7_July822_100um_A_derivative_OG_T0.7_results.csv,plastic,10,M3
brown,Results_Mekong7_July822_100um_A_derivative_OG_T0.7_results.csv,plastic,35,M3
gold,Results_Mekong7_July822_100um_A_derivative_OG_T0.7_results.csv,plastic,1,M3
green,Results_Mekong7_July822_100um_A_derivative_OG_T0.7_results.csv,plastic,1,M3
translucent,Results_Mekong7_July822_100um_A_derivative_OG_T0.7_results.csv,plastic,12,M3
black,Results_Mekong7_July822_100um_B_derivative_OG_T0.7_results.csv,plastic,2,M3
blue,Results_Mekong7_July822_100um_B_derivative_OG_T0.7_results.csv,plastic,1,M3
brown,Results_Mekong7_July822_100um_B_derivative_OG_T0.7_results.csv,plastic,24,M3
gold,Results_Mekong7_July822_100um_B_derivative_OG_T0.7_results.csv,plastic,2,M3
translucent,Results_Mekong7_July822_100um_B_derivative_OG_T0.7_results.csv,plastic,2,M3
white,Results_Mekong7_July822_100um_B_derivative_OG_T0.7_results.csv,plastic,3,M3
black,Results_Mekong8_070722_100um_derivative_OG_T0.7_results.csv,plastic,2,M2
brown,Results_Mekong8_070722_100um_derivative_OG_T0.7_results.csv,plastic,24,M2
translucent,Results_Mekong8_070722_100um_derivative_OG_T0.7_results.csv,plastic,16,M2
white,Results_Mekong8_070722_100um_derivative_OG_T0.7_results.csv,plastic,3,M2
black,Results_Sekong1_071022_100um_A_derivative_OG_T0.7_results.csv,plastic,2,SK1
brown,Results_Sekong1_071022_100um_A_derivative_OG_T0.7_results.csv,plastic,78,SK1
gold,Results_Sekong1_071022_100um_A_derivative_OG_T0.7_results.csv,plastic,2,SK1
translucent,Results_Sekong1_071022_100um_A_derivative_OG_T0.7_results.csv,plastic,11,SK1
white,Results_Sekong1_071022_100um_A_derivative_OG_T0.7_results.csv,plastic,3,SK1
black,Results_Sekong1_071022_100um_B_derivative_OG_T0.7_results.csv,plastic,2,SK1
brown,Results_Sekong1_071022_100um_B_derivative_OG_T0.7_results.csv,plastic,47,SK1
gold,Results_Sekong1_071022_100um_B_derivative_OG_T0.7_results.csv,plastic,4,SK1
translucent,Results_Sekong1_071022_100um_B_derivative_OG_T0.7_results.csv,plastic,22,SK1
white,Results_Sekong1_071022_100um_B_derivative_OG_T0.7_results.csv,plastic,5,SK1
black,Results_Sesan1_Dup_071022_100um_derivative_OG_T0.7_results.csv,plastic,3,SS1D
brown,Results_Sesan1_Dup_071022_100um_derivative_OG_T0.7_results.csv,plastic,8,SS1D
translucent,Results_Sesan1_Dup_071022_100um_derivative_OG_T0.7_results.csv,plastic,27,SS1D
white,Results_Sesan1_Dup_071022_100um_derivative_OG_T0.7_results.csv,plastic,4,SS1D
black,Results_Sesan1_July102022_100um_derivative_OG_T0.7_results.csv,plastic,8,SS1
brown,Results_Sesan1_July102022_100um_derivative_OG_T0.7_results.csv,plastic,69,SS1
silver,Results_Sesan1_July102022_100um_derivative_OG_T0.7_results.csv,plastic,1,SS1
translucent,Results_Sesan1_July102022_100um_derivative_OG_T0.7_results.csv,plastic,171,SS1
white,Results_Sesan1_July102022_100um_derivative_OG_T0.7_results.csv,plastic,16,SS1
