site,match_category_corrected,size_W,size_L,morphology,blank_type,filename,total_values,volume,subsample_rate,total_N,total_MDA,corrected_N,N_per_L
M3,Other plastic,<50,<50,fiber/filament,DS,Mekong_7_Feb2222_HVS_100um_1_derivative_T0.7_results.csv,1,35,0.2,5,3.3333333333333335,1.6666666666666665,0.047619047619047616
M3,Polycarbonates,<50,100-200,fiber/filament,DS,Mekong_7_Feb2222_HVS_100um_1_derivative_T0.7_results.csv,2,35,0.2,10,6.591166666666667,3.408833333333333,0.09739523809523809
M3,Polycarbonates,<50,200-300,fiber/filament,DS,Mekong_7_Feb2222_HVS_100um_1_derivative_T0.7_results.csv,2,35,0.2,10,6.591166666666667,3.408833333333333,0.09739523809523809
M3,Polycarbonates,<50,300-400,fiber/filament,DS,Mekong_7_Feb2222_HVS_100um_1_derivative_T0.7_results.csv,5,35,0.2,25,6.591166666666667,18.408833333333334,0.5259666666666667
M3,Polycarbonates,<50,<50,fragment,DS,Mekong_7_Feb2222_HVS_100um_1_derivative_T0.7_results.csv,6,35,0.2,30,22.440990241768525,7.5590097582314755,0.21597170737804217
M3,Polyethylenes,50-100,200-300,film,DS,Mekong_7_Feb2222_HVS_100um_1_derivative_T0.7_results.csv,1,35,0.2,5,0,5,0.14285714285714285
M3,Polyethylenes,50-100,50-100,fragment,DS,Mekong_7_Feb2222_HVS_100um_1_derivative_T0.7_results.csv,1,35,0.2,5,3.3333333333333335,1.6666666666666665,0.047619047619047616
M3,Polyethylenes,<50,<50,fiber/filament,DS,Mekong_7_Feb2222_HVS_100um_1_derivative_T0.7_results.csv,1,35,0.2,5,3.3333333333333335,1.6666666666666665,0.047619047619047616
M3,Polystyrenes,<50,50-100,fragment,DS,Mekong_7_Feb2222_HVS_100um_1_derivative_T0.7_results.csv,2,35,0.2,10,5.206266666666667,4.793733333333333,0.13696380952380952
M3,Polystyrenes,<50,<50,fragment,DS,Mekong_7_Feb2222_HVS_100um_1_derivative_T0.7_results.csv,5,35,0.2,25,5.206266666666667,19.793733333333332,0.5655352380952381
