color,filename,plastic_or_not,N,site
black,Bassac1_Feb1822_HVS_335um1_derivative_beta_T0.7_results_clean.csv,not plastic,8,B2
brown,Bassac1_Feb1822_HVS_335um1_derivative_beta_T0.7_results_clean.csv,not plastic,78,B2
green,Bassac1_Feb1822_HVS_335um1_derivative_beta_T0.7_results_clean.csv,not plastic,12,B2
translucent,Bassac1_Feb1822_HVS_335um1_derivative_beta_T0.7_results_clean.csv,not plastic,16,B2
white,Bassac1_Feb1822_HVS_335um1_derivative_beta_T0.7_results_clean.csv,not plastic,2,B2
black,Bassac2_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,114,B1
blue,Bassac2_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,1,B1
brown,Bassac2_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,33,B1
multi,Bassac2_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,1,B1
translucent,Bassac2_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,25,B1
white,Bassac2_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,4,B1
black,Mekong2_Feb1922_HVS_225um_derivative_beta_T0.7_results_clean.csv,not plastic,3,M8
brown,Mekong2_Feb1922_HVS_225um_derivative_beta_T0.7_results_clean.csv,not plastic,119,M8
translucent,Mekong2_Feb1922_HVS_225um_derivative_beta_T0.7_results_clean.csv,not plastic,32,M8
white,Mekong2_Feb1922_HVS_225um_derivative_beta_T0.7_results_clean.csv,not plastic,10,M8
black,Mekong3_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,68,M9
brown,Mekong3_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,262,M9
green,Mekong3_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,14,M9
translucent,Mekong3_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,36,M9
white,Mekong3_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,7,M9
black,Mekong5_Feb2122_HVS_335um_1_derivative_beta_T0.7_results_clean.csv,not plastic,103,M5
brown,Mekong5_Feb2122_HVS_335um_1_derivative_beta_T0.7_results_clean.csv,not plastic,68,M5
green,Mekong5_Feb2122_HVS_335um_1_derivative_beta_T0.7_results_clean.csv,not plastic,2,M5
multi,Mekong5_Feb2122_HVS_335um_1_derivative_beta_T0.7_results_clean.csv,not plastic,1,M5
translucent,Mekong5_Feb2122_HVS_335um_1_derivative_beta_T0.7_results_clean.csv,not plastic,47,M5
white,Mekong5_Feb2122_HVS_335um_1_derivative_beta_T0.7_results_clean.csv,not plastic,4,M5
,Results_Mekong10_Feb22_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,1,M1
black,Results_Mekong10_Feb22_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,32,M1
brown,Results_Mekong10_Feb22_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,45,M1
translucent,Results_Mekong10_Feb22_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,22,M1
white,Results_Mekong10_Feb22_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,8,M1
yellow,Results_Mekong10_Feb22_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,1,M1
,Results_Mekong4_Feb2022_HVS_derivative_beta_T0.7_results_clean.csv,not plastic,2,M6
black,Results_Mekong4_Feb2022_HVS_derivative_beta_T0.7_results_clean.csv,not plastic,130,M6
blue,Results_Mekong4_Feb2022_HVS_derivative_beta_T0.7_results_clean.csv,not plastic,2,M6
brown,Results_Mekong4_Feb2022_HVS_derivative_beta_T0.7_results_clean.csv,not plastic,135,M6
green,Results_Mekong4_Feb2022_HVS_derivative_beta_T0.7_results_clean.csv,not plastic,6,M6
translucent,Results_Mekong4_Feb2022_HVS_derivative_beta_T0.7_results_clean.csv,not plastic,120,M6
white,Results_Mekong4_Feb2022_HVS_derivative_beta_T0.7_results_clean.csv,not plastic,19,M6
black,Results_Mekong6_Feb2222_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,73,M4
blue,Results_Mekong6_Feb2222_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,1,M4
brown,Results_Mekong6_Feb2222_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,150,M4
green,Results_Mekong6_Feb2222_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,16,M4
translucent,Results_Mekong6_Feb2222_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,110,M4
