color,filename,plastic_or_not,N,site
white,Results_Mekong6_Feb2222_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,1,M4
yellow,Results_Mekong6_Feb2222_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,8,M4
black,Results_Mekong8_Feb2422_HVS_335um1_derivative_beta_T0.7_results_clean.csv,not plastic,38,M2
blue,Results_Mekong8_Feb2422_HVS_335um1_derivative_beta_T0.7_results_clean.csv,not plastic,3,M2
brown,Results_Mekong8_Feb2422_HVS_335um1_derivative_beta_T0.7_results_clean.csv,not plastic,110,M2
translucent,Results_Mekong8_Feb2422_HVS_335um1_derivative_beta_T0.7_results_clean.csv,not plastic,7,M2
black,Results_Sekong1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,51,SK1
brown,Results_Sekong1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,60,SK1
green,Results_Sekong1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,1,SK1
red,Results_Sekong1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,1,SK1
translucent,Results_Sekong1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,28,SK1
white,Results_Sekong1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,2,SK1
black,Results_Sesan1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,16,SS1
blue,Results_Sesan1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,1,SS1
brown,Results_Sesan1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,38,SS1
green,Results_Sesan1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,10,SS1
multi,Results_Sesan1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,1,SS1
red,Results_Sesan1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,1,SS1
translucent,Results_Sesan1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,159,SS1
white,Results_Sesan1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,not plastic,10,SS1
black,Bassac1_Feb1822_HVS_335um1_derivative_beta_T0.7_results_clean.csv,plastic,6,B2
brown,Bassac1_Feb1822_HVS_335um1_derivative_beta_T0.7_results_clean.csv,plastic,32,B2
green,Bassac1_Feb1822_HVS_335um1_derivative_beta_T0.7_results_clean.csv,plastic,10,B2
red,Bassac1_Feb1822_HVS_335um1_derivative_beta_T0.7_results_clean.csv,plastic,1,B2
translucent,Bassac1_Feb1822_HVS_335um1_derivative_beta_T0.7_results_clean.csv,plastic,5,B2
white,Bassac1_Feb1822_HVS_335um1_derivative_beta_T0.7_results_clean.csv,plastic,2,B2
black,Bassac2_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,8,B1
brown,Bassac2_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,7,B1
translucent,Bassac2_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,5,B1
white,Bassac2_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,3,B1
brown,Mekong2_Feb1922_HVS_225um_derivative_beta_T0.7_results_clean.csv,plastic,13,M8
translucent,Mekong2_Feb1922_HVS_225um_derivative_beta_T0.7_results_clean.csv,plastic,4,M8
white,Mekong2_Feb1922_HVS_225um_derivative_beta_T0.7_results_clean.csv,plastic,3,M8
black,Mekong3_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,2,M9
brown,Mekong3_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,33,M9
green,Mekong3_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,6,M9
red,Mekong3_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,1,M9
translucent,Mekong3_Feb1922_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,7,M9
black,Mekong5_Feb2122_HVS_335um_1_derivative_beta_T0.7_results_clean.csv,plastic,46,M5
brown,Mekong5_Feb2122_HVS_335um_1_derivative_beta_T0.7_results_clean.csv,plastic,4,M5
translucent,Mekong5_Feb2122_HVS_335um_1_derivative_beta_T0.7_results_clean.csv,plastic,8,M5
white,Mekong5_Feb2122_HVS_335um_1_derivative_beta_T0.7_results_clean.csv,plastic,1,M5
black,Results_Mekong10_Feb22_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,13,M1
brown,Results_Mekong10_Feb22_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,33,M1
translucent,Results_Mekong10_Feb22_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,10,M1
white,Results_Mekong10_Feb22_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,3,M1
,Results_Mekong4_Feb2022_HVS_derivative_beta_T0.7_results_clean.csv,plastic,1,M6
black,Results_Mekong4_Feb2022_HVS_derivative_beta_T0.7_results_clean.csv,plastic,15,M6
brown,Results_Mekong4_Feb2022_HVS_derivative_beta_T0.7_results_clean.csv,plastic,15,M6
translucent,Results_Mekong4_Feb2022_HVS_derivative_beta_T0.7_results_clean.csv,plastic,9,M6
white,Results_Mekong4_Feb2022_HVS_derivative_beta_T0.7_results_clean.csv,plastic,4,M6
black,Results_Mekong6_Feb2222_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,4,M4
brown,Results_Mekong6_Feb2222_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,20,M4
translucent,Results_Mekong6_Feb2222_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,6,M4
white,Results_Mekong6_Feb2222_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,2,M4
black,Results_Mekong8_Feb2422_HVS_335um1_derivative_beta_T0.7_results_clean.csv,plastic,5,M2
blue,Results_Mekong8_Feb2422_HVS_335um1_derivative_beta_T0.7_results_clean.csv,plastic,1,M2
brown,Results_Mekong8_Feb2422_HVS_335um1_derivative_beta_T0.7_results_clean.csv,plastic,5,M2
translucent,Results_Mekong8_Feb2422_HVS_335um1_derivative_beta_T0.7_results_clean.csv,plastic,3,M2
black,Results_Sekong1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,15,SK1
blue,Results_Sekong1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,1,SK1
brown,Results_Sekong1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,21,SK1
green,Results_Sekong1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,1,SK1
red,Results_Sekong1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,1,SK1
translucent,Results_Sekong1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,6,SK1
black,Results_Sesan1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,7,SS1
brown,Results_Sesan1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,8,SS1
green,Results_Sesan1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,4,SS1
translucent,Results_Sesan1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,25,SS1
white,Results_Sesan1_Feb2422_HVS_335um_derivative_beta_T0.7_results_clean.csv,plastic,2,SS1
